rating,reviewer_id,date,review_title,review_body,category,score_gemini,score_groq,tokens,bing_prediction,swn_prediction
5.0,danielle,2025-09-27,great product,great value great product definitely recommend would buy,food,5.0,5.0,"['great', 'value', 'great', 'product', 'definitely', 'recommend', 'would', 'buy']",1,1
5.0,antonio,2025-09-04,healthy food,healthy way cook,food,1.0,5.0,"['healthy', 'way', 'cook']",1,1
5.0,rebecca,2025-10-17,oil fine package thin plastic,vegetable oil not worth spend name brand cost say manage make package thin practically need put cardboard box like restaurants thin not real careful not squeeze air screw lid get tight like vacuum bottle super hard unscrew lid,food,2.0,1.0,"['vegetable', 'oil', 'not', 'worth', 'spend', 'name', 'brand', 'cost', 'say', 'manage', 'make', 'package', 'thin', 'practically', 'need', 'put', 'cardboard', 'box', 'like', 'restaurants', 'thin', 'not', 'real', 'careful', 'not', 'squeeze', 'air', 'screw', 'lid', 'get', 'tight', 'like', 'vacuum', 'bottle', 'super', 'hard', 'unscrew', 'lid']",0,1
3.0,melonie,2025-08-04,miss items,not receive donuts earrings submit request earrings already order order last order pay not get deliver please either mail refund money,food,1.0,1.0,"['not', 'receive', 'donuts', 'earrings', 'submit', 'request', 'earrings', 'already', 'order', 'order', 'last', 'order', 'pay', 'not', 'get', 'deliver', 'please', 'either', 'mail', 'refund', 'money']",1,0
1.0,chiann,2025-06-07,never get order,never get im not happy,food,1.0,1.0,"['never', 'get', 'im', 'not', 'happy']",0,1
1.0,jonaisha,2023-07-03,use better judgment price item,substitute vegetable oil 3 48oz bottle extremely bad judgment 2 would perfect price 1 substitution not good call one,food,2.0,4.0,"['substitute', 'vegetable', 'oil', '3', '48oz', 'bottle', 'extremely', 'bad', 'judgment', '2', 'would', 'perfect', 'price', '1', 'substitution', 'not', 'good', 'call', 'one']",0,1
5.0,ardawd123,2025-10-28,great value vegetable oil,ive use great value oil many years im 48 still ive hear bad body possibly undoubtedly isnt bad body would still recommend still use tell otherwise not doesnt give food bad taste work like suppose,food,5.0,5.0,"['ive', 'use', 'great', 'value', 'oil', 'many', 'years', 'im', '48', 'still', 'ive', 'hear', 'bad', 'body', 'possibly', 'undoubtedly', 'isnt', 'bad', 'body', 'would', 'still', 'recommend', 'still', 'use', 'tell', 'otherwise', 'not', 'doesnt', 'give', 'food', 'bad', 'taste', 'work', 'like', 'suppose']",1,1
5.0,trista,2025-11-02,,great value good deal great value good buy like use product im not spend extra money usually equal im buy like use product im not spend extra money usually equal get,food,5.0,5.0,"['great', 'value', 'good', 'deal', 'great', 'value', 'good', 'buy', 'like', 'use', 'product', 'im', 'not', 'spend', 'extra', 'money', 'usually', 'equal', 'im', 'buy', 'like', 'use', 'product', 'im', 'not', 'spend', 'extra', 'money', 'usually', 'equal', 'get']",1,1
5.0,michelle,2025-10-24,vegetable oil,love vegetable oil good price fry chicken fish kind vegetable oil good price money buy years no complaints 10 10 get chicken crispy buy chicken restaurant,food,5.0,5.0,"['love', 'vegetable', 'oil', 'good', 'price', 'fry', 'chicken', 'fish', 'kind', 'vegetable', 'oil', 'good', 'price', 'money', 'buy', 'years', 'no', 'complaints', '10', '10', 'get', 'chicken', 'crispy', 'buy', 'chicken', 'restaurant']",1,1
3.0,patty,2025-11-09,,actual oil fine top bottle mash badly could hardly get lid shopper take shelf like give order online associate load sit something heavy like case water drink top wish people work customer service care enough pay attention,food,5.0,5.0,"['actual', 'oil', 'fine', 'top', 'bottle', 'mash', 'badly', 'could', 'hardly', 'get', 'lid', 'shopper', 'take', 'shelf', 'like', 'give', 'order', 'online', 'associate', 'load', 'sit', 'something', 'heavy', 'like', 'case', 'water', 'drink', 'top', 'wish', 'people', 'work', 'customer', 'service', 'care', 'enough', 'pay', 'attention']",1,1
5.0,connie,2025-11-21,,love cook go grocery shop recently break foot family shop mei temporarily work alsoi independent dont like put people way work decide try impress already recommend others,food,5.0,5.0,"['love', 'cook', 'go', 'grocery', 'shop', 'recently', 'break', 'foot', 'family', 'shop', 'mei', 'temporarily', 'work', 'alsoi', 'independent', 'dont', 'like', 'put', 'people', 'way', 'work', 'decide', 'try', 'impress', 'already', 'recommend', 'others']",1,1
5.0,abigail,2025-11-16,,great value vegetable oil 48 fl oz kitchen essential light versatile perfect fry bake saute large 48 fl oz bottle provide great value last long time reliable quality affordable pricehighly recommend,food,5.0,5.0,"['great', 'value', 'vegetable', 'oil', '48', 'fl', 'oz', 'kitchen', 'essential', 'light', 'versatile', 'perfect', 'fry', 'bake', 'saute', 'large', '48', 'fl', 'oz', 'bottle', 'provide', 'great', 'value', 'last', 'long', 'time', 'reliable', 'quality', 'affordable', 'pricehighly', 'recommend']",1,1
4.0,michaela,2025-11-18,pretty good not always interchangeable,vegetable oil pretty good personally prefer olive oil bake several recipes require vegetable oil ive try olive oil difference way two oil behave recipes not always interchangeable,food,3.0,4.0,"['vegetable', 'oil', 'pretty', 'good', 'personally', 'prefer', 'olive', 'oil', 'bake', 'several', 'recipes', 'require', 'vegetable', 'oil', 'ive', 'try', 'olive', 'oil', 'difference', 'way', 'two', 'oil', 'behave', 'recipes', 'not', 'always', 'interchangeable']",1,1
1.0,nana,2026-01-29,,havent get order yet originally yesterday afternoon get notice delay okay fine roads still not good place notice another delay another delay put 6pm would dark temperatures drop reschedule today 1012 morning prepare order order delay past 230pm werent go deliver not say start items order specifically storm come really need order far know everything order least last night,food,1.0,5.0,"['havent', 'get', 'order', 'yet', 'originally', 'yesterday', 'afternoon', 'get', 'notice', 'delay', 'okay', 'fine', 'roads', 'still', 'not', 'good', 'place', 'notice', 'another', 'delay', 'another', 'delay', 'put', '6pm', 'would', 'dark', 'temperatures', 'drop', 'reschedule', 'today', '1012', 'morning', 'prepare', 'order', 'order', 'delay', 'past', '230pm', 'werent', 'go', 'deliver', 'not', 'say', 'start', 'items', 'order', 'specifically', 'storm', 'come', 'really', 'need', 'order', 'far', 'know', 'everything', 'order', 'least', 'last', 'night']",0,0
5.0,lisa,2026-01-31,easy affordable cook oil,like brand like price like use oil daily cook like oil doesnt mess flavor food like easy open close cap plastic bottle every thing make life easier,food,2.0,5.0,"['like', 'brand', 'like', 'price', 'like', 'use', 'oil', 'daily', 'cook', 'like', 'oil', 'doesnt', 'mess', 'flavor', 'food', 'like', 'easy', 'open', 'close', 'cap', 'plastic', 'bottle', 'every', 'thing', 'make', 'life', 'easier']",1,1
5.0,sara,2025-11-29,,good expensive name brand 26 oil use would great though could nodrip spout normally need small bite oil time 26 end wipe top paper towel use,food,5.0,5.0,"['good', 'expensive', 'name', 'brand', '26', 'oil', 'use', 'would', 'great', 'though', 'could', 'nodrip', 'spout', 'normally', 'need', 'small', 'bite', 'oil', 'time', '26', 'end', 'wipe', 'top', 'paper', 'towel', 'use']",1,1
5.0,tanya,2025-11-29,value,oil unless use olive coconut even lard not much difference vegetable oil except price oil get outrageous walmart best price oil pretty much everything must add use shop kroger walmart beat store price keep quality,food,2.0,4.0,"['oil', 'unless', 'use', 'olive', 'coconut', 'even', 'lard', 'not', 'much', 'difference', 'vegetable', 'oil', 'except', 'price', 'oil', 'get', 'outrageous', 'walmart', 'best', 'price', 'oil', 'pretty', 'much', 'everything', 'must', 'add', 'use', 'shop', 'kroger', 'walmart', 'beat', 'store', 'price', 'keep', 'quality']",0,1
5.0,shannon,2026-01-15,mean,basic cook oil work anything require high smoke point oil cook taste doesnt change flavor foods also use grease pan nonstick surface best use light color pan go oven,food,3.0,5.0,"['basic', 'cook', 'oil', 'work', 'anything', 'require', 'high', 'smoke', 'point', 'oil', 'cook', 'taste', 'doesnt', 'change', 'flavor', 'foods', 'also', 'use', 'grease', 'pan', 'nonstick', 'surface', 'best', 'use', 'light', 'color', 'pan', 'go', 'oven']",1,1
5.0,debbi,2026-01-03,cabinet staple,home chef 7 family members cook lot food no solid reason use brandname vegetable oil great value brand vegetable oil perfectly fine mild flavor use fry type foods make salad dressings bake call oil etc im please great value vegetable oil make switch,food,4.0,5.0,"['home', 'chef', '7', 'family', 'members', 'cook', 'lot', 'food', 'no', 'solid', 'reason', 'use', 'brandname', 'vegetable', 'oil', 'great', 'value', 'brand', 'vegetable', 'oil', 'perfectly', 'fine', 'mild', 'flavor', 'use', 'fry', 'type', 'foods', 'make', 'salad', 'dressings', 'bake', 'call', 'oil', 'etc', 'im', 'please', 'great', 'value', 'vegetable', 'oil', 'make', 'switch']",1,1
5.0,dena,2026-02-04,vegetable oil less,vegetable oil great quality texture consistency taste like brand name excellent option us try cut back ridiculous brandname highpriced products walmart better brand opinion use vegetable oil bake brownies cookies specialty vegetable dish come amazingly good dont bother pay get great quality less,food,2.0,5.0,"['vegetable', 'oil', 'great', 'quality', 'texture', 'consistency', 'taste', 'like', 'brand', 'name', 'excellent', 'option', 'us', 'try', 'cut', 'back', 'ridiculous', 'brandname', 'highpriced', 'products', 'walmart', 'better', 'brand', 'opinion', 'use', 'vegetable', 'oil', 'bake', 'brownies', 'cookies', 'specialty', 'vegetable', 'dish', 'come', 'amazingly', 'good', 'dont', 'bother', 'pay', 'get', 'great', 'quality', 'less']",1,1
5.0,earl,2026-02-06,,oil performance level higher end brand yet affordable price point everyday pantry item stock use light enough even make italian dress versus olive oil cost pinch pennies want oil go ways,food,5.0,5.0,"['oil', 'performance', 'level', 'higher', 'end', 'brand', 'yet', 'affordable', 'price', 'point', 'everyday', 'pantry', 'item', 'stock', 'use', 'light', 'enough', 'even', 'make', 'italian', 'dress', 'versus', 'olive', 'oil', 'cost', 'pinch', 'pennies', 'want', 'oil', 'go', 'ways']",1,1
5.0,david,2026-01-09,not oil create equal,vegetable oil solid everyday staple neutral flavor work well cook bake fry without affect taste food heat evenly perform reliably whether saute deep fry use recipes bottle size convenient last pour easy control without make mess price quality consistent dependable want straightforward affordable cook oil exactly one great value,food,4.0,5.0,"['vegetable', 'oil', 'solid', 'everyday', 'staple', 'neutral', 'flavor', 'work', 'well', 'cook', 'bake', 'fry', 'without', 'affect', 'taste', 'food', 'heat', 'evenly', 'perform', 'reliably', 'whether', 'saute', 'deep', 'fry', 'use', 'recipes', 'bottle', 'size', 'convenient', 'last', 'pour', 'easy', 'control', 'without', 'make', 'mess', 'price', 'quality', 'consistent', 'dependable', 'want', 'straightforward', 'affordable', 'cook', 'oil', 'exactly', 'one', 'great', 'value']",1,1
1.0,danette,2026-02-11,,hate store since jan 27th 2026i cancel reotder ridiculously 3 4xs bcz competent employees customer service stire 233262 stire never evercanswers phone mean not single dept end call ure 80023 10xs order bcz answer phone im oxygen cumbersome go store carry items let alone 2 case water u dont hire staff help answer phone u go lose customers ive decide shop elsewhere ure price keep go price higher grocery store u r actially price gouge customers im goingvto report company im people,food,3.0,1.0,"['hate', 'store', 'since', 'jan', '27th', '2026i', 'cancel', 'reotder', 'ridiculously', '3', '4xs', 'bcz', 'competent', 'employees', 'customer', 'service', 'stire', '233262', 'stire', 'never', 'evercanswers', 'phone', 'mean', 'not', 'single', 'dept', 'end', 'call', 'ure', '80023', '10xs', 'order', 'bcz', 'answer', 'phone', 'im', 'oxygen', 'cumbersome', 'go', 'store', 'carry', 'items', 'let', 'alone', '2', 'case', 'water', 'u', 'dont', 'hire', 'staff', 'help', 'answer', 'phone', 'u', 'go', 'lose', 'customers', 'ive', 'decide', 'shop', 'elsewhere', 'ure', 'price', 'keep', 'go', 'price', 'higher', 'grocery', 'store', 'u', 'r', 'actially', 'price', 'gouge', 'customers', 'im', 'goingvto', 'report', 'company', 'im', 'people']",0,0
5.0,melody,2026-03-01,,understand hoopla certain type unhealthy cook oil commit healthier lifestyle yeah right stand aisle read every vegetable oil label honestly great value vegetable oil nearly brand 100 veg oil healthiest kind healthiest affordable im,food,5.0,5.0,"['understand', 'hoopla', 'certain', 'type', 'unhealthy', 'cook', 'oil', 'commit', 'healthier', 'lifestyle', 'yeah', 'right', 'stand', 'aisle', 'read', 'every', 'vegetable', 'oil', 'label', 'honestly', 'great', 'value', 'vegetable', 'oil', 'nearly', 'brand', '100', 'veg', 'oil', 'healthiest', 'kind', 'healthiest', 'affordable', 'im']",1,1
4.0,ryan,2025-10-03,great value vegetable oil 48 fl oz,giant jug great value vegetable oil crucial component college experience specifically deepfrying freeze chicken nuggets attempt make actual food first time 48 fl oz size ensure wont panicbuy oil least month two give priorities minor miracle thank walmart provide necessary fuel inevitable culinary disasters,food,4.0,5.0,"['giant', 'jug', 'great', 'value', 'vegetable', 'oil', 'crucial', 'component', 'college', 'experience', 'specifically', 'deepfrying', 'freeze', 'chicken', 'nuggets', 'attempt', 'make', 'actual', 'food', 'first', 'time', '48', 'fl', 'oz', 'size', 'ensure', 'wont', 'panicbuy', 'oil', 'least', 'month', 'two', 'give', 'priorities', 'minor', 'miracle', 'thank', 'walmart', 'provide', 'necessary', 'fuel', 'inevitable', 'culinary', 'disasters']",1,1
5.0,sherene,2025-09-23,,love affordable product easy use cook package durable safe taste ok wont burn first use reuse least 2 time always continue use buy cook family thank great value families appreciate,food,5.0,5.0,"['love', 'affordable', 'product', 'easy', 'use', 'cook', 'package', 'durable', 'safe', 'taste', 'ok', 'wont', 'burn', 'first', 'use', 'reuse', 'least', '2', 'time', 'always', 'continue', 'use', 'buy', 'cook', 'family', 'thank', 'great', 'value', 'families', 'appreciate']",1,1
1.0,chris,2025-09-24,,vegetable oil run mill vegetable oil affordable im walmart cancel delivery order without warn without attempt reschedule cancel mine recently mean hold money 10 business days thats right cancel order hold money ive call bank cant anything walmart control transaction not no groceries 200 additional amount charge time hold unavailable ten business days youre better use amazon doordash dont bother especially live norfolk va use tidewater drive store particularly bad,food,1.0,1.0,"['vegetable', 'oil', 'run', 'mill', 'vegetable', 'oil', 'affordable', 'im', 'walmart', 'cancel', 'delivery', 'order', 'without', 'warn', 'without', 'attempt', 'reschedule', 'cancel', 'mine', 'recently', 'mean', 'hold', 'money', '10', 'business', 'days', 'thats', 'right', 'cancel', 'order', 'hold', 'money', 'ive', 'call', 'bank', 'cant', 'anything', 'walmart', 'control', 'transaction', 'not', 'no', 'groceries', '200', 'additional', 'amount', 'charge', 'time', 'hold', 'unavailable', 'ten', 'business', 'days', 'youre', 'better', 'use', 'amazon', 'doordash', 'dont', 'bother', 'especially', 'live', 'norfolk', 'va', 'use', 'tidewater', 'drive', 'store', 'particularly', 'bad']",0,0
5.0,arnetta,2025-10-13,great quality value goto cook oil,ive buy great value vegetable oil years never disappoint perfect everyday cookingwhether im fry bake saute oil neutral flavor doesnt overpower food heat evenly 48 fl oz size great deal price last good kitchen bottle easy pour store overall affordable reliable staple home cook,food,4.0,5.0,"['ive', 'buy', 'great', 'value', 'vegetable', 'oil', 'years', 'never', 'disappoint', 'perfect', 'everyday', 'cookingwhether', 'im', 'fry', 'bake', 'saute', 'oil', 'neutral', 'flavor', 'doesnt', 'overpower', 'food', 'heat', 'evenly', '48', 'fl', 'oz', 'size', 'great', 'deal', 'price', 'last', 'good', 'kitchen', 'bottle', 'easy', 'pour', 'store', 'overall', 'affordable', 'reliable', 'staple', 'home', 'cook']",1,1
1.0,laiila,2024-01-18,,im 1000 sure suppose sort safety self vegetable oil ill definitely discard waste money,food,5.0,1.0,"['im', '1000', 'sure', 'suppose', 'sort', 'safety', 'self', 'vegetable', 'oil', 'ill', 'definitely', 'discard', 'waste', 'money']",0,0
5.0,anita,2025-11-05,,like vegetable oil best unless make italian food use olive oil use great value brand always think better brand 26 think try,food,1.0,5.0,"['like', 'vegetable', 'oil', 'best', 'unless', 'make', 'italian', 'food', 'use', 'olive', 'oil', 'use', 'great', 'value', 'brand', 'always', 'think', 'better', 'brand', '26', 'think', 'try']",1,1
5.0,moneq,2026-02-16,great value great choice,theres no difference national brand versus store brand price use cook bake need ive never issue product,food,4.0,5.0,"['theres', 'no', 'difference', 'national', 'brand', 'versus', 'store', 'brand', 'price', 'use', 'cook', 'bake', 'need', 'ive', 'never', 'issue', 'product']",1,0
